Step,Episode Rewards
10000,-164.90769958496094
20000,-157.691650390625
30000,-154.96192932128906
40000,-158.60719299316406
50000,-148.59848022460938
60000,-148.10333251953125
70000,-147.12594604492188
80000,-153.87379455566406
90000,-139.1991424560547
100000,-139.94346618652344
110000,-135.46896362304688
120000,-135.65516662597656
130000,-136.73802185058594
140000,-135.43978881835938
150000,-130.62319946289062
160000,-115.7985610961914
170000,-105.97882843017578
180000,-88.3044204711914
190000,-67.42777252197266
200000,-48.53496170043945
210000,-47.36658477783203
220000,-42.816062927246094
230000,-41.03264617919922
240000,-43.88294982910156
250000,-40.94828796386719
260000,-40.12993621826172
270000,-45.45903015136719
280000,-42.97064208984375
290000,-38.12614440917969
300000,-39.25508117675781
310000,-40.794517517089844
320000,-39.121761322021484
330000,-40.5698127746582
340000,-40.03492736816406
350000,-39.4307861328125
360000,-35.86217498779297
370000,-37.643680572509766
380000,-34.17697525024414
390000,-36.74115753173828
400000,-36.60194778442383
410000,-35.86680221557617
420000,-36.17076873779297
430000,-36.342872619628906
440000,-35.590152740478516
450000,-34.11227035522461
460000,-37.36754608154297
470000,-34.66421890258789
480000,-35.63157272338867
490000,-38.39328384399414
500000,-37.438018798828125
510000,-33.96588897705078
520000,-33.455814361572266
530000,-35.80131149291992
540000,-32.91273880004883
550000,-33.60326385498047
560000,-33.83567428588867
570000,-34.9193229675293
580000,-35.156593322753906
590000,-35.52912902832031
600000,-35.01994323730469
610000,-36.770263671875
620000,-32.30669021606445
630000,-36.10308837890625
640000,-36.21786117553711
650000,-39.03311538696289
660000,-37.808448791503906
670000,-35.07596206665039
680000,-33.059425354003906
690000,-34.28900146484375
700000,-33.60866165161133
710000,-34.00558853149414
720000,-33.55571746826172
730000,-33.427635192871094
740000,-35.48351287841797
750000,-34.87260055541992
760000,-34.15681457519531
770000,-32.6395378112793
780000,-34.34725570678711
790000,-35.323585510253906
800000,-36.72261047363281
810000,-34.65576934814453
820000,-31.57366943359375
830000,-35.734195709228516
840000,-32.71659469604492
850000,-35.048118591308594
860000,-34.69609451293945
870000,-33.28541564941406
880000,-30.636701583862305
890000,-31.808652877807617
900000,-31.62544059753418
910000,-32.59353256225586
920000,-31.475818634033203
930000,-31.240522384643555
940000,-32.24372100830078
950000,-31.341047286987305
960000,-32.523475646972656
970000,-32.05912780761719
980000,-33.236690521240234
990000,-32.711395263671875
1000000,-31.5423641204834
1010000,-31.67685317993164
1020000,-31.837169647216797
1030000,-32.45664596557617
1040000,-29.349916458129883
1050000,-33.94815444946289
1060000,-32.00836944580078
1070000,-31.454469680786133
1080000,-32.303794860839844
1090000,-31.452478408813477
1100000,-32.318092346191406
1110000,-33.51349639892578
1120000,-33.3486213684082
1130000,-31.630874633789062
1140000,-32.338783264160156
1150000,-31.45258140563965
1160000,-32.86445617675781
1170000,-32.18687438964844
1180000,-31.486751556396484
1190000,-29.987884521484375
1200000,-29.139270782470703
1210000,-31.838594436645508
1220000,-31.154407501220703
1230000,-29.50572967529297
1240000,-32.41244888305664
1250000,-30.126876831054688
1260000,-30.864519119262695
1270000,-32.7767448425293
1280000,-31.21544075012207
1290000,-29.738569259643555
1300000,-26.758304595947266
1310000,-30.517398834228516
1320000,-30.55977439880371
1330000,-30.030174255371094
1340000,-31.846229553222656
1350000,-29.682926177978516
1360000,-31.90053939819336
1370000,-30.66594886779785
1380000,-31.326894760131836
1390000,-30.23756217956543
1400000,-31.51792335510254
1410000,-31.058544158935547
1420000,-32.19208908081055
1430000,-31.512510299682617
1440000,-30.448984146118164
1450000,-31.6972599029541
1460000,-32.28137969970703
1470000,-31.82611846923828
1480000,-29.130634307861328
1490000,-30.57025909423828
1500000,-28.628427505493164
1510000,-30.587305068969727
1520000,-31.02225685119629
1530000,-29.48239517211914
1540000,-32.45866394042969
1550000,-31.020347595214844
1560000,-29.95309066772461
1570000,-29.86400604248047
1580000,-27.41141128540039
1590000,-27.270580291748047
1600000,-27.95160675048828
1610000,-29.636884689331055
1620000,-28.030128479003906
1630000,-30.056730270385742
1640000,-27.620962142944336
1650000,-28.558780670166016
1660000,-29.616697311401367
1670000,-29.901548385620117
1680000,-29.944072723388672
1690000,-30.944990158081055
1700000,-29.362815856933594
1710000,-27.77991485595703
1720000,-29.79779815673828
1730000,-30.0490779876709
1740000,-29.5183162689209
1750000,-29.235637664794922
1760000,-28.408035278320312
1770000,-29.330812454223633
1780000,-27.9404239654541
1790000,-26.948240280151367
1800000,-29.402448654174805
1810000,-29.6497859954834
1820000,-27.81300163269043
1830000,-29.381467819213867
1840000,-28.643327713012695
1850000,-26.555601119995117
1860000,-30.19500732421875
1870000,-27.68630599975586
1880000,-28.801258087158203
1890000,-27.26085662841797
1900000,-27.31903839111328
1910000,-28.820499420166016
1920000,-29.343294143676758
1930000,-24.87854766845703
1940000,-27.763002395629883
1950000,-27.67578125
1960000,-28.918176651000977
1970000,-28.205629348754883
1980000,-26.83094596862793
1990000,-26.64689826965332
2000000,-27.779787063598633
